Year,Question Number,Answer
2019,63,d
2019,64,b
2019,65,b
2019,66,c
2019,67,d
2019,68,a
2019,69,a
2019,70,a
2019,71,a
2019,72,d
2019,73,a
2019,74,b
2019,75,d
2019,76,c
2019,77,a
2019,78,c
2019,79,c
2019,80,d
2019,81,d
2019,82,a
2019,83,a
2019,84,d
2019,85,d
2019,86,d
2019,87,a
2019,88,c
2019,89,b
2019,90,b
2019,91,b
2019,92,b
2019,93,a
2019,94,d
2019,95,d
2019,96,a
2019,97,b
2019,98,b
2019,99,a
2019,100,b
2020,1,b
2020,2,b
2020,3,d
2020,4,d
2020,5,b
2020,6,d
2020,7,d
2020,8,d
2020,9,a
2020,10,c
2020,11,b
2020,12,a
2020,13,b
2020,14,a
2020,15,d
2020,16,d
2020,17,d
2020,18,d
2020,19,a
2020,20,c
2020,21,b
2020,22,b
2020,23,a
2020,24,c
2020,25,c
2020,26,d
2020,27,dropped
2020,28,a
2020,29,a
2020,30,a
2020,31,c
2020,32,b
2020,33,b
2020,34,d
2020,35,d
2020,36,c
2020,37,d
2020,38,b
2020,39,c
2020,40,d
2020,41,d
2020,42,d
2020,43,d
2020,44,d
2020,45,b
2020,46,a
2020,47,c
2020,48,d
2020,49,a
2020,50,d
2020,51,b
2020,52,dropped
2020,53,a
2020,54,d
2020,55,b
2020,56,c
2020,57,b
2020,58,c
2020,59,b
2020,60,b
2020,61,c
2020,62,a
2020,63,d
2020,64,b
2020,65,a
2020,66,b
2020,67,a
2020,68,c
2020,69,d
2020,70,c
2020,71,b
2020,72,a
2020,73,c
2020,74,a
2020,75,a
2020,76,d
2020,77,b
2020,78,d
2020,79,d
2020,80,a
2020,81,a
2020,82,d
2020,83,a
2020,84,a
2020,85,a
2020,86,a
2020,87,d
2020,88,c
2020,89,d
2020,90,c
2020,91,d
2020,92,b
2020,93,b
2020,94,c
2020,95,d
2020,96,a
2020,97,b
2020,98,c
2020,99,c
2020,100,a
2021,1,d
2021,2,b
2021,3,b
2021,4,a
2021,5,b
2021,6,d
2021,7,a
2021,8,a
2021,9,d
2021,10,d
2021,11,c
2021,12,a
2021,13,b
2021,14,c
2021,15,b
2021,16,a
2021,17,b
2021,18,d
2021,19,a
2021,20,c
2021,21,c
2021,22,b
2021,23,d
2021,24,a
2021,25,b
2021,26,c
2021,27,c
2021,28,c
2021,29,a
2021,30,d
2021,31,c
2021,32,a
2021,33,a
2021,34,b
2021,35,d
2021,36,c
2021,37,d
2021,38,a
2021,39,c
2021,40,b
2021,41,b
2021,42,b
2021,43,a
2021,44,c
2021,45,a
2021,46,c
2021,47,d
2021,48,a
2021,49,a
2021,50,b
2021,51,b
2021,52,b
2021,53,d
2021,54,d
2021,55,b
2021,56,b
2021,57,a
2021,58,c
2021,59,d
2021,60,d
2021,61,c
2021,62,b
2021,63,b
2021,64,b
2021,65,c
2021,66,c
2021,67,b
2021,68,c
2021,69,a
2021,70,b
2021,71,a
2021,72,c
2021,73,d
2021,74,b
2021,75,d
2021,76,d
2021,77,c
2021,78,b
2021,79,c
2021,80,dropped
2021,81,d
2021,82,b
2021,83,b
2021,84,d
2021,85,a
2021,86,a
2021,87,a
2021,88,c
2021,89,c
2021,90,d
2021,91,b
2021,92,b
2021,93,b
2021,94,d
2021,95,d
2021,96,d
2021,97,d
2021,98,c
2021,99,b
2021,100,d
2022,1,b
2022,2,c
2022,3,b
2022,4,c
2022,5,a
2022,6,b
2022,7,a
2022,8,d
2022,9,a
2022,10,c
2022,11,b
2022,12,b
2022,13,b
2022,14,b
2022,15,b
2022,16,b
2022,17,d
2022,18,c
2022,19,b
2022,20,a
2022,21,b
2022,22,d
2022,23,b
2022,24,c
2022,25,b
2022,26,a
2022,27,c
2022,28,b
2022,29,b
2022,30,b
2022,31,d
2022,32,d
2022,33,b
2022,34,c
2022,35,b
2022,36,d
2022,37,d
2022,38,c
2022,39,b
2022,40,c
2022,41,a
2022,42,b
2022,43,d
2022,44,b
2022,45,c
2022,46,a
2022,47,a
2022,48,a
2022,49,a
2022,50,c
2022,51,c
2022,52,b
2022,53,d
2022,54,b
2022,55,b
2022,56,c
2022,57,b
2022,58,d
2022,59,b
2022,60,b
2022,61,a
2022,62,d
2022,63,b
2022,64,b
2022,65,c
2022,66,d
2022,67,c
2022,68,d
2022,69,a
2022,70,a
2022,71,c
2022,72,a
2022,73,a
2022,74,b
2022,75,c
2022,76,a
2022,77,a
2022,78,d
2022,79,d
2022,80,a
2022,81,d
2022,82,c
2022,83,c
2022,84,b
2022,85,d
2022,86,b
2022,87,c
2022,88,b
2022,89,b
2022,90,a
2022,91,b
2022,92,b
2022,93,b
2022,94,a
2022,95,a
2022,96,a
2022,97,d
2022,98,d
2022,99,d
2022,100,b
2023,1,a
2023,2,b
2023,3,b
2023,4,a
2023,5,d
2023,6,d
2023,7,c
2023,8,a
2023,9,d
2023,10,d
2023,11,c
2023,12,c
2023,13,a
2023,14,a
2023,15,c
2023,16,d
2023,17,b
2023,18,c
2023,19,b
2023,20,c
2023,21,d
2023,22,a
2023,23,b
2023,24,a
2023,25,b
2023,26,b
2023,27,c
2023,28,c
2023,29,b
2023,30,c
2023,31,a
2023,32,a
2023,33,c
2023,34,a
2023,35,a
2023,36,d
2023,37,b
2023,38,b
2023,39,b
2023,40,c
2023,41,a
2023,42,b
2023,43,b
2023,44,d
2023,45,d
2023,46,b
2023,47,b
2023,48,a
2023,49,c
2023,50,d
2023,51,b
2023,52,c
2023,53,a
2023,54,c
2023,55,b
2023,56,a
2023,57,d
2023,58,d
2023,59,b
2023,60,c
2023,61,a
2023,62,c
2023,63,d
2023,64,d
2023,65,c
2023,66,d
2023,67,a
2023,68,c
2023,69,a
2023,70,a
2023,71,b
2023,72,c
2023,73,d
2023,74,b
2023,75,b
2023,76,c
2023,77,b
2023,78,d
2023,79,c
2023,80,a
2023,81,a
2023,82,b
2023,83,a
2023,84,d
2023,85,c
2023,86,c
2023,87,c
2023,88,d
2023,89,a
2023,90,d
2023,91,b
2023,92,b
2023,93,d
2023,94,c
2023,95,b
2023,96,b
2023,97,d
2023,98,d
2023,99,c
2023,100,c
2024,1,d
2024,2,a
2024,3,d
2024,4,a
2024,5,c
2024,6,b
2024,7,a
2024,8,b
2024,9,a
2024,10,b
2024,11,a
2024,12,a
2024,13,d
2024,14,c
2024,15,d
2024,16,b
2024,17,d
2024,18,b
2024,19,c
2024,20,x
2024,21,c
2024,22,a
2024,23,d
2024,24,a
2024,25,a
2024,26,a
2024,27,d
2024,28,a
2024,29,c
2024,30,a
2024,31,b
2024,32,d
2024,33,a
2024,34,b
2024,35,d
2024,36,a
2024,37,d
2024,38,c
2024,39,d
2024,40,c
2024,41,d
2024,42,c
2024,43,d
2024,44,d
2024,45,b
2024,46,c
2024,47,b
2024,48,c
2024,49,d
2024,50,a
2024,51,a
2024,52,x
2024,53,d
2024,54,b
2024,55,b
2024,56,a
2024,57,x
2024,58,b
2024,59,a
2024,60,c
2024,61,d
2024,62,a
2024,63,c
2024,64,c
2024,65,b
2024,66,d
2024,67,a
2024,68,c
2024,69,d
2024,70,a
2024,71,d
2024,72,a
2024,73,b
2024,74,d
2024,75,c
2024,76,d
2024,77,d
2024,78,c
2024,79,a
2024,80,c
2024,81,c
2024,82,d
2024,83,c
2024,84,b
2024,85,c
2024,86,d
2024,87,b
2024,88,a
2024,89,c
2024,90,d
2024,91,a
2024,92,d
2024,93,a
2024,94,b
2024,95,c
2024,96,c
2024,97,d
2024,98,d
2024,99,b
2024,100,b
2025,1,b
2025,2,a
2025,3,b
2025,4,b
2025,5,d
2025,6,c
2025,7,a
2025,8,a
2025,9,a
2025,10,a
2025,11,c
2025,12,b
2025,13,b
2025,14,a
2025,15,b
2025,16,c
2025,17,b
2025,18,d
2025,19,c
2025,20,c
2025,21,b
2025,22,c
2025,23,d
2025,24,d
2025,25,c
2025,26,c
2025,27,a
2025,28,b
2025,29,c
2025,30,c
2025,31,c
2025,32,d
2025,33,c
2025,34,b
2025,35,a
2025,36,c
2025,37,d
2025,38,c
2025,39,c
2025,40,b
2025,41,c
2025,42,d
2025,43,c
2025,44,c
2025,45,c
2025,46,c
2025,47,c
2025,48,d
2025,49,d
2025,50,a
2025,51,c
2025,52,c
2025,53,a
2025,54,a
2025,55,c
2025,56,b
2025,57,d
2025,58,d
2025,59,d
2025,60,b
2025,61,d
2025,62,a
2025,63,d
2025,64,b
2025,65,a
2025,66,c
2025,67,c
2025,68,a
2025,69,b
2025,70,d
2025,71,a
2025,72,c
2025,73,b
2025,74,a
2025,75,c
2025,76,d
2025,77,a
2025,78,a
2025,79,c
2025,80,d
2025,81,c
2025,82,d
2025,83,c
2025,84,b
2025,85,c
2025,86,a
2025,87,c
2025,88,d
2025,89,d
2025,90,a
2025,91,d
2025,92,c
2025,93,c
2025,94,d
2025,95,a
2025,96,b
2025,97,a
2025,98,d
2025,99,a
2025,100,b
